latitude,longitude,date,temp,wspd,rhum,brightness,frp,confidence,grid_id,fire_occurred
36.765237566224755,129.06179733072491,2024-12-10,1.1,3.5,56,,,n,l_55_61,1
37.08310712291076,129.30668511833304,2024-12-10,5.8,5.9,41,313.48,2.38,n,l_61_66,1
35.228192847553665,127.49831711783997,2024-12-09,4.6,18.4,71,320.65,2.09,n,l_24_29,1
36.11850668179737,128.33610481757736,2024-12-07,4.0,13.0,50,,,n,l_42_46,1
36.71322000016056,129.3386100001056,2024-12-06,4.0,11.7,50,,,n,l_54_66,1
37.626362335762906,126.6757982632721,2024-12-04,1.7000000000000002,6.2,70,296.2,0.45,n,l_72_13,1
37.03066206640179,127.97354258275936,2025-01-26,1.5,10.0,63,,,n,l_60_39,1
34.57915199276977,126.5975079453779,2025-01-26,5.3,7.1,64,326.84,3.33,n,l_11_11,1
34.89773190479739,126.88820767485649,2025-01-25,2.4,8.9,61,,,n,l_17_17,1
35.35725297355406,126.77568699751382,2025-01-25,5.3,5.1,57,346.87,3.22,n,l_27_15,1
37.52778113137722,128.06045327512805,2025-01-25,2.9,2.6,56,,,n,l_70_41,1
36.507390000189794,127.01914999999885,2025-01-25,4.0,8.5,59,,,n,l_50_20,1
35.94528000025301,128.69711000000868,2025-01-25,3.6,7.7,69,298.61,0.67,n,l_38_53,1
35.33837583916281,127.23553841507317,2025-01-25,5.3,5.1,64,338.33,3.92,n,l_26_24,1
36.66676934259306,127.29359483978502,2025-01-25,1.4,7.0,61,,,n,l_53_25,1
37.19262765588386,126.73322585296913,2025-01-25,2.3,12.4,71,308.48,1.35,n,l_63_14,1
35.527610000597704,127.38864999999917,2025-01-24,3.4,3.9,57,,,n,l_30_27,1
37.26043592116254,126.10930374640826,2025-01-24,3.8,19.1,64,296.38,1.57,n,l_65_2,1
35.03921324686645,127.07610537212022,2025-01-23,2.4,7.9,70,346.87,3.22,n,l_20_21,1
37.44295481176847,128.0048719289766,2025-01-23,0.6000000000000001,1.3,63,299.37,1.05,n,l_68_40,1
34.87513111813518,127.0008750185557,2025-01-21,1.7000000000000002,7.2,73,,,n,l_17_20,1
35.0357850991982,127.62589156567184,2025-01-19,3.5,11.2,62,329.47,3.11,n,l_20_32,1
36.417544185692584,127.88453090236662,2025-01-18,-0.7000000000000001,3.5,53,,,n,l_48_37,1
35.82791337288693,128.54195377978297,2025-01-18,2.1,3.2,47,,,n,l_36_50,1
36.5184632131358,128.7692394114179,2025-01-16,-2.1,6.2,57,,,n,l_50_55,1
34.52357120460603,127.44352493066484,2025-01-12,1.1,21.0,64,332.85,3.35,n,l_10_28,1
38.088869999986436,128.5812200000024,2025-01-12,-9.6,15.6,34,,,n,l_81_51,1
36.2756757014691,129.34935571444475,2025-01-12,0.0,13.4,59,332.8,6.59,n,l_45_66,1
35.25577813670653,127.48015454497998,2025-01-11,0.4,18.6,76,297.87,2.52,n,l_25_29,1
37.444721560172546,126.99100469313156,2025-01-10,-8.7,9.6,48,325.79,3.05,n,l_68_19,1
36.39207000020278,128.50471000000405,2025-01-08,-1.8,15.8,61,,,n,l_47_50,1
36.81333607422056,127.1221021570195,2025-01-04,-1.0,3.7,53,295.61,2.4,n,l_56_22,1
36.06370006063696,128.87221513629785,2025-01-04,0.7000000000000001,10.3,50,298.06,1.03,n,l_41_57,1
37.212753060283,129.272326755862,2025-01-04,2.0,6.7,47,298.56,0.6000000000000001,n,l_64_65,1
37.40651131673885,126.83468797241898,2025-01-04,-1.8,5.7,57,304.3,0.9,n,l_68_16,1
37.736320000035356,127.3105299999999,2025-01-03,-3.5,8.7,50,,,n,l_74_26,1
37.69325900116612,127.39340212721211,2025-01-03,-3.4,9.2,50,,,n,l_73_27,1
36.49452405225903,126.70972411422036,2025-01-03,2.4,26.9,60,,,n,l_49_14,1
35.17990419925488,127.3653933987839,2025-01-03,2.7,21.3,47,300.95,1.27,n,l_23_27,1
35.619477983272304,129.26392046516878,2025-01-03,1.3,9.0,27,295.52,1.8399999999999999,n,l_32_65,1
35.61077195830294,127.27295472327073,2025-01-03,0.9,3.5,53,,,n,l_32_25,1
37.165087600487865,126.95729510819751,2025-01-03,-1.5,5.6,59,297.85,1.47,n,l_63_19,1
36.905100000284165,127.75145000000091,2025-01-02,-2.0,7.6,65,,,n,l_58_35,1
