grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
98,19.1,10.8,50,296.02,0.51,n,1
80,19.1,10.8,50,295.62,0.51,n,1
114,23.2,36.4,50,296.76,0.3,n,1
114,23.2,36.4,50,297.24,0.36,n,1
80,19.1,10.8,50,300.57,0.64,n,1
114,19.3,10.8,50,305.07,0.95,n,1
80,19.3,10.8,50,298.63,0.69,n,1
98,19.3,10.8,50,297.49,0.21,n,1
98,19.3,10.8,50,301.14,0.9,n,1
107,17.5,10.4,50,295.53,0.34,n,1
114,19.6,10.4,50,313.19,1.59,n,1
80,19.6,10.4,50,310.64,1.07,n,1
8,15.7,8.6,50,306.27,0.48,n,1
98,20.4,10.1,50,315.63,0.88,n,1
114,20.4,10.1,50,316.6,1.67,n,1
107,16.3,11.2,50,297.33,0.39,n,1
98,20.4,10.1,50,307.6,0.82,n,1
98,20.4,10.1,50,301.37,0.58,n,1
53,20.4,10.1,50,306.27,0.63,n,1
80,20.4,10.1,50,318.21,0.87,n,1
44,20.4,10.1,50,314.75,0.68,n,1
14,22.1,7.2,50,298.4,0.31,n,1
144,21.4,9.0,50,305.71,0.93,n,1
134,21.4,9.0,50,304.02,0.96,n,1
53,22.5,7.2,50,304.6,0.25,n,1
157,21.4,9.0,50,300.81,1.69,n,1
114,22.5,7.2,50,313.31,1.45,n,1
80,22.5,7.2,50,311.77,0.53,n,1
53,22.5,7.2,50,300.01,0.51,n,1
80,22.5,7.2,50,311.53,1.01,n,1
98,22.5,7.2,50,303.88,0.53,n,1
98,22.5,7.2,50,303.31,0.53,n,1
98,22.5,7.2,50,311.96,1.0,n,1
44,22.5,7.2,50,311.67,1.34,n,1
13,22.5,7.2,50,299.9,0.26,n,1
8,20.2,4.7,50,301.21,0.68,n,1
98,25.7,6.1,50,301.88,0.36,n,1
114,25.7,6.1,50,300.06,0.75,n,1
98,25.7,6.1,50,312.25,0.99,n,1
80,25.7,6.1,50,306.86,0.61,n,1
44,25.7,6.1,50,311.09,0.95,n,1
160,19.0,13.0,50,305.59,0.98,n,1
157,23.3,8.6,50,303.94,0.9,n,1
144,23.3,8.6,50,308.3,0.65,n,1
98,25.7,6.1,50,302.6,1.12,n,1
44,25.7,6.1,50,302.54,0.51,n,1
80,25.7,6.1,50,299.08,0.8,n,1
44,25.7,6.1,50,299.96,0.38,n,1
44,28.1,9.0,50,301.66,0.69,n,1
44,28.1,9.0,50,303.17,0.61,n,1
152,25.3,9.4,50,302.87,0.75,n,1
44,28.1,9.0,50,310.68,1.36,n,1
80,28.1,9.0,50,300.78,0.87,n,1
44,28.1,9.0,50,319.34,0.88,n,1
80,28.1,9.0,50,302.0,0.63,n,1
160,20.1,11.9,50,305.02,0.84,n,1
98,28.1,9.0,50,304.66,1.33,n,1
134,25.3,9.4,50,304.06,0.5,n,1
134,25.3,9.4,50,301.05,0.49,n,1
114,28.1,9.0,50,299.71,0.98,n,1
98,28.1,9.0,50,306.44,0.99,n,1
138,25.3,9.4,50,350.4,4.03,n,1
114,31.9,21.6,50,312.45,1.45,n,1
98,26.6,9.4,50,309.02,1.36,n,1
98,26.6,9.4,50,300.89,0.56,n,1
80,26.6,9.4,50,300.5,0.59,n,1
134,26.1,9.4,50,302.35,0.98,n,1
80,26.6,9.4,50,301.44,0.58,n,1
44,26.6,9.4,50,332.67,1.17,l,1
144,25.0,10.4,50,304.37,1.69,n,1
98,24.4,12.6,50,305.14,1.28,n,1
98,24.4,12.6,50,335.9,4.62,l,1
114,24.4,12.6,50,340.95,4.31,l,1
81,24.4,12.6,50,332.82,1.72,l,1
98,22.7,11.2,50,302.86,0.52,n,1
13,22.7,11.2,50,303.87,0.63,n,1
98,22.7,11.2,50,306.69,0.55,n,1
98,22.7,11.2,50,309.99,1.33,n,1
134,22.5,9.4,50,309.73,1.34,n,1
114,22.7,11.2,50,309.29,1.56,n,1
80,22.7,11.2,50,306.79,1.2,n,1
157,22.5,9.4,50,307.39,1.27,n,1
144,22.5,9.4,50,313.72,1.5,n,1
53,22.7,11.2,50,301.32,0.52,n,1
44,22.7,11.2,50,314.27,1.54,n,1
36,30.4,19.4,50,303.21,0.66,n,1
160,19.3,12.2,50,306.6,1.09,n,1
44,22.7,11.5,50,303.09,0.75,n,1
44,22.7,11.5,50,305.6,0.49,n,1
98,22.7,11.5,50,299.94,0.65,n,1
