latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.43009,-118.64317,300.08,0.38,0.59,2024-05-27,1028,N20,VIIRS,n,2,282.6,0.62,N,2
34.48191,-118.89108,296.23,0.37,0.58,2024-05-27,1028,N20,VIIRS,n,2,281.69,0.27,N,0
33.80432,-118.24292,298.51,0.42,0.61,2024-05-27,1028,N20,VIIRS,n,2,288.27,0.85,N,0
34.29107,-118.80252,302.63,0.38,0.59,2024-05-27,1028,N20,VIIRS,n,2,281.98,0.43,N,2
34.1549,-118.19145,305.76,0.41,0.61,2024-05-27,1028,N20,VIIRS,n,2,283.58,0.54,N,2
34.33476,-118.51826,304.4,0.39,0.6,2024-05-27,1028,N20,VIIRS,n,2,284.13,0.76,N,2
34.33443,-118.51907,311.61,0.43,0.46,2024-05-28,1009,N20,VIIRS,n,2,285.3,1.55,N,2
34.32328,-118.52815,301.64,0.43,0.46,2024-05-28,1009,N20,VIIRS,n,2,285.11,0.7,N,0
34.43124,-118.64542,305.27,0.42,0.45,2024-05-28,1009,N20,VIIRS,n,2,284.34,1.09,N,2
34.3184,-118.51191,297.62,0.43,0.46,2024-05-28,1010,N20,VIIRS,n,2,283.81,0.27,N,2
34.32559,-118.52525,300.4,0.43,0.46,2024-05-28,1010,N20,VIIRS,n,2,284.45,0.61,N,2
33.7644,-117.58485,347.78,0.69,0.74,2024-05-28,1948,N20,VIIRS,n,2,297.73,14.69,D,0
33.77305,-117.58019,351.32,0.69,0.74,2024-05-28,1948,N20,VIIRS,n,2,294.12,13.32,D,0
33.76845,-117.58202,332.38,0.61,0.53,2024-05-28,2129,N20,VIIRS,n,2,300.99,4.9,D,0
34.47909,-118.89112,295.28,0.4,0.37,2024-05-29,0951,N20,VIIRS,n,2,284.42,0.31,N,0
34.42994,-118.64587,320.07,0.4,0.37,2024-05-29,0951,N20,VIIRS,n,2,285.04,1.81,N,2
34.33338,-118.51927,314.57,0.41,0.37,2024-05-29,0951,N20,VIIRS,n,2,285.26,1.65,N,2
34.32409,-118.52637,307.1,0.41,0.37,2024-05-29,0951,N20,VIIRS,n,2,284.13,0.84,N,2
34.29137,-118.80074,312.17,0.4,0.37,2024-05-29,0951,N20,VIIRS,n,2,284.77,1.27,N,2
34.15327,-118.19194,335.75,0.48,0.4,2024-05-29,2110,N20,VIIRS,l,2,308.04,4.59,D,2
34.47863,-118.89454,297.91,0.43,0.38,2024-05-30,0932,N20,VIIRS,n,2,284.59,0.28,N,0
34.29308,-118.8027,313.79,0.43,0.38,2024-05-30,0932,N20,VIIRS,n,2,283.75,0.88,N,2
34.15456,-118.19078,310.68,0.41,0.37,2024-05-30,0932,N20,VIIRS,n,2,285.61,0.66,N,2
34.31995,-118.51091,303.2,0.42,0.38,2024-05-30,0932,N20,VIIRS,n,2,285.61,0.58,N,2
34.33492,-118.51718,311.09,0.42,0.38,2024-05-30,0932,N20,VIIRS,n,2,286.31,1.4,N,2
34.33551,-118.52164,308.96,0.42,0.38,2024-05-30,0932,N20,VIIRS,n,2,285.39,1.21,N,2
34.40144,-118.99608,299.17,0.44,0.38,2024-05-30,0932,N20,VIIRS,n,2,284.24,0.47,N,0
34.43002,-118.64533,314.34,0.43,0.38,2024-05-30,0932,N20,VIIRS,n,2,284.41,1.67,N,2
34.15481,-118.19357,315.15,0.41,0.37,2024-05-30,0932,N20,VIIRS,n,2,285.33,1.2,N,2
34.11384,-117.92648,297.54,0.41,0.37,2024-05-30,0932,N20,VIIRS,n,2,287.05,0.64,N,2
34.03728,-117.55947,297.31,0.4,0.37,2024-05-30,0932,N20,VIIRS,n,2,285.3,0.44,N,0
34.03995,-117.82054,298.68,0.4,0.37,2024-05-30,0932,N20,VIIRS,n,2,286.3,0.55,N,2
34.03436,-118.10494,303.2,0.41,0.37,2024-05-30,0932,N20,VIIRS,n,2,285.92,0.67,N,2
34.43148,-118.64235,314.91,0.43,0.38,2024-05-30,0932,N20,VIIRS,n,2,285.03,0.85,N,2
34.24344,-118.38025,301.21,0.42,0.37,2024-05-30,0932,N20,VIIRS,n,2,284.65,0.55,N,0
34.47862,-118.89252,296.45,0.49,0.49,2024-05-31,0913,N20,VIIRS,n,2,285.58,0.28,N,0
34.33771,-118.52042,309.33,0.46,0.47,2024-05-31,0913,N20,VIIRS,n,2,285.12,1,N,2
34.33419,-118.52027,331.78,0.56,0.43,2024-05-31,2032,N20,VIIRS,l,2,306.38,5.45,D,2
34.24474,-118.379,297.79,0.46,0.39,2024-06-03,0957,N20,VIIRS,n,2,284.05,0.46,N,0
34.29159,-118.80145,312.02,0.45,0.39,2024-06-03,0957,N20,VIIRS,n,2,282.64,1.23,N,2
34.15164,-118.1927,307.19,0.47,0.4,2024-06-03,0957,N20,VIIRS,n,2,283.76,1.05,N,2
34.33475,-118.52077,314.76,0.46,0.39,2024-06-03,0957,N20,VIIRS,n,2,283.36,1.68,N,2
34.40104,-118.99747,295.54,0.44,0.38,2024-06-03,0957,N20,VIIRS,n,2,284.32,0.6,N,2
34.43158,-118.645,306.62,0.39,0.36,2024-06-04,0938,N20,VIIRS,n,2,274.61,1.02,N,2
34.33526,-118.52027,298.79,0.39,0.36,2024-06-04,0938,N20,VIIRS,n,2,276.29,0.39,N,2
34.29195,-118.80212,304.12,0.39,0.36,2024-06-04,0938,N20,VIIRS,n,2,275.58,0.84,N,2
34.38623,-117.69062,354.62,0.4,0.37,2024-06-04,2057,N20,VIIRS,n,2,319.21,44.52,D,0
34.3829,-117.68993,348.57,0.4,0.37,2024-06-04,2057,N20,VIIRS,n,2,316.2,44.52,D,0
34.38565,-117.69482,367,0.4,0.37,2024-06-04,2057,N20,VIIRS,l,2,325.47,44.52,D,0
34.38232,-117.69415,367,0.4,0.37,2024-06-04,2057,N20,VIIRS,h,2,335.84,44.52,D,0
34.38439,-117.69442,297.64,0.53,0.42,2024-06-05,0919,N20,VIIRS,n,2,286.64,0.31,N,0
34.04102,-117.82146,302.18,0.53,0.42,2024-06-05,0919,N20,VIIRS,n,2,288.78,0.6,N,2
34.15405,-118.19467,313.09,0.55,0.43,2024-06-05,0919,N20,VIIRS,n,2,288.46,1.47,N,2
34.31904,-118.51308,304.48,0.38,0.43,2024-06-05,0919,N20,VIIRS,n,2,287.98,0.24,N,2
34.32469,-118.52815,304.49,0.38,0.44,2024-06-05,0919,N20,VIIRS,n,2,290.6,0.69,N,0
34.33585,-118.51855,316.68,0.38,0.43,2024-06-05,0919,N20,VIIRS,n,2,290.24,1.3,N,2
34.47927,-118.89326,301.36,0.37,0.58,2024-06-06,0900,N20,VIIRS,n,2,290.22,0.51,N,0
34.33796,-118.5187,303.06,0.36,0.57,2024-06-06,0900,N20,VIIRS,n,2,289.12,0.74,N,2
34.24184,-118.37921,299.36,0.48,0.4,2024-06-10,0925,N20,VIIRS,n,2,285.76,0.33,N,0
34.29351,-118.80326,310.22,0.5,0.41,2024-06-10,0925,N20,VIIRS,n,2,284.31,0.68,N,2
34.32095,-118.51212,298.67,0.49,0.4,2024-06-10,0925,N20,VIIRS,n,2,284.07,0.55,N,2
34.32647,-118.52662,297.74,0.49,0.4,2024-06-10,0925,N20,VIIRS,n,2,283.93,0.32,N,0
34.11539,-117.92666,301.83,0.46,0.39,2024-06-10,0925,N20,VIIRS,n,2,287.39,0.41,N,2
34.15587,-118.19467,301.43,0.47,0.4,2024-06-10,0925,N20,VIIRS,n,2,284.61,0.09,N,2
34.33693,-118.51975,310,0.49,0.4,2024-06-10,0925,N20,VIIRS,n,2,284.43,1.52,N,2
34.42927,-118.6448,311.68,0.49,0.41,2024-06-10,0925,N20,VIIRS,n,2,285.16,1.49,N,2
34.03711,-118.10586,296.99,0.46,0.39,2024-06-10,0925,N20,VIIRS,n,2,286.13,0.53,N,2
34.15227,-118.19556,309.29,0.47,0.4,2024-06-10,0925,N20,VIIRS,n,2,284.82,0.87,N,2
34.33382,-118.51825,302.42,0.58,0.52,2024-06-11,0906,N20,VIIRS,n,2,287.22,1.12,N,2
34.15665,-118.19488,306.15,0.55,0.51,2024-06-11,0906,N20,VIIRS,n,2,286.51,0.91,N,2
34.15342,-118.19526,306.05,0.55,0.51,2024-06-11,0906,N20,VIIRS,n,2,285.99,1.43,N,2
34.29759,-118.80027,305.56,0.68,0.74,2024-06-11,1046,N20,VIIRS,n,2,285.38,1.79,N,0
34.30129,-118.80107,296.94,0.68,0.74,2024-06-11,1046,N20,VIIRS,n,2,285.05,0.8,N,0
34.15446,-118.19144,333.5,0.44,0.46,2024-06-11,2025,N20,VIIRS,n,2,308.35,2.5,D,2
34.33361,-118.52086,313.68,0.42,0.45,2024-06-13,1009,N20,VIIRS,n,2,285.23,0.76,N,2
34.31842,-118.51056,300.35,0.42,0.45,2024-06-13,1009,N20,VIIRS,n,2,284.89,0.4,N,0
34.29245,-118.80155,317.83,0.4,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.58,1.52,N,2
34.43261,-118.64547,310.1,0.4,0.37,2024-06-14,0950,N20,VIIRS,n,2,287.47,0.92,N,2
34.42926,-118.64623,305.29,0.4,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.85,0.92,N,2
34.33622,-118.51989,316.44,0.41,0.37,2024-06-14,0950,N20,VIIRS,n,2,287.36,1.01,N,2
34.32362,-118.52777,304.33,0.41,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.48,0.65,N,0
34.32056,-118.51009,302.89,0.41,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.69,0.5,N,2
34.40073,-118.99952,299.65,0.4,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.6,0.47,N,2
34.15564,-118.19219,308.1,0.41,0.37,2024-06-14,0950,N20,VIIRS,n,2,287.66,0.8,N,2
34.15225,-118.19299,308.5,0.41,0.37,2024-06-14,0950,N20,VIIRS,n,2,286.68,0.8,N,2
33.77775,-118.23534,302.37,0.42,0.37,2024-06-14,0950,N20,VIIRS,n,2,291.86,0.8,N,0
34.31915,-118.51305,309.76,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,295.02,0.93,N,2
33.61272,-117.82346,310.93,0.4,0.37,2024-06-15,0931,N20,VIIRS,n,2,288.29,0.94,N,0
33.77916,-118.2378,304.49,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,293.85,1.35,N,0
33.79444,-118.34901,302.07,0.42,0.37,2024-06-15,0931,N20,VIIRS,n,2,287.65,0.34,N,0
33.71572,-117.71082,312.26,0.4,0.37,2024-06-15,0931,N20,VIIRS,n,2,288.78,1.31,N,0
33.81387,-118.23766,303.14,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,293.01,1.31,N,2
33.8219,-118.24522,300.6,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,290.19,0.61,N,2
33.8545,-118.3305,305.09,0.42,0.37,2024-06-15,0931,N20,VIIRS,n,2,294.07,1.46,N,2
34.43077,-118.64632,313.66,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,291.16,1.57,N,2
34.40057,-118.9986,299.35,0.44,0.39,2024-06-15,0931,N20,VIIRS,n,2,289.17,0.61,N,2
34.33418,-118.51942,319.67,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,293.63,1.51,N,2
34.32439,-118.52584,312.31,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,294.56,1.18,N,0
33.93373,-117.83998,303.96,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,289.59,0.76,N,0
34.0372,-118.10645,309.98,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,289.99,0.62,N,2
34.03567,-117.89324,297.51,0.41,0.37,2024-06-15,0931,N20,VIIRS,n,2,287.36,0.23,N,0
34.1482,-118.72235,301.02,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,287.05,0.4,N,0
34.15408,-118.19411,317.74,0.42,0.37,2024-06-15,0931,N20,VIIRS,n,2,289.02,1.27,N,2
34.29208,-118.80267,312.27,0.43,0.38,2024-06-15,0931,N20,VIIRS,n,2,287.58,1.46,N,2
34.24272,-118.38085,305.11,0.42,0.38,2024-06-15,0931,N20,VIIRS,n,2,287.64,0.39,N,0
34.15458,-118.19517,314.4,0.45,0.47,2024-06-16,0912,N20,VIIRS,n,2,288.27,0.9,N,2
34.33654,-118.51728,303.07,0.47,0.48,2024-06-16,0912,N20,VIIRS,n,2,291.55,1.62,N,2
34.32425,-118.5285,303.05,0.47,0.48,2024-06-16,0912,N20,VIIRS,n,2,290.47,0.73,N,0
34.2912,-118.80331,304.54,0.49,0.49,2024-06-16,0912,N20,VIIRS,n,2,286.47,0.91,N,2
34.24413,-118.3833,298.07,0.46,0.47,2024-06-16,0912,N20,VIIRS,n,2,286.74,0.3,N,0
33.61271,-117.82373,305.69,0.42,0.46,2024-06-16,0912,N20,VIIRS,n,2,287.74,0.78,N,0
33.71631,-117.70849,299.74,0.42,0.45,2024-06-16,0912,N20,VIIRS,n,2,288.69,0.86,N,0
34.03485,-118.10692,301.26,0.45,0.47,2024-06-16,0912,N20,VIIRS,n,2,288.9,0.55,N,2
34.04085,-117.821,299.66,0.43,0.46,2024-06-16,0912,N20,VIIRS,n,2,289.14,0.29,N,2
34.11528,-117.92438,300.84,0.44,0.46,2024-06-16,0912,N20,VIIRS,n,2,290.77,0.52,N,2
34.24289,-118.38058,299.57,0.46,0.47,2024-06-16,0912,N20,VIIRS,n,2,287.57,0.33,N,0
34.11314,-118.33799,339.91,0.56,0.43,2024-06-16,2031,N20,VIIRS,n,2,307.18,10.1,D,0
34.43331,-118.64659,296.88,0.45,0.63,2024-06-17,0853,N20,VIIRS,n,2,286.37,0.5,N,2
34.32745,-118.5286,296.02,0.45,0.63,2024-06-17,0853,N20,VIIRS,n,2,284.96,0.51,N,0
34.29537,-118.8047,295.62,0.46,0.64,2024-06-17,0853,N20,VIIRS,n,2,284.97,0.51,N,0
34.43134,-118.6459,296.76,0.46,0.64,2024-06-17,1034,N20,VIIRS,n,2,285.2,0.3,N,2
34.43132,-118.64378,297.24,0.46,0.64,2024-06-17,1034,N20,VIIRS,n,2,285.37,0.36,N,2
34.29362,-118.80159,300.57,0.45,0.63,2024-06-17,1034,N20,VIIRS,n,2,284.73,0.64,N,2
34.43015,-118.6433,305.07,0.5,0.49,2024-06-18,1015,N20,VIIRS,n,2,284.95,0.95,N,2
34.29391,-118.80096,298.63,0.49,0.49,2024-06-18,1015,N20,VIIRS,n,2,284.54,0.69,N,2
34.31945,-118.50954,297.49,0.51,0.5,2024-06-18,1015,N20,VIIRS,n,2,285.81,0.21,N,0
34.33528,-118.51649,301.14,0.51,0.49,2024-06-18,1015,N20,VIIRS,n,2,286.83,0.9,N,2
34.4003,-118.9962,295.53,0.43,0.38,2024-06-19,0956,N20,VIIRS,n,2,285.32,0.34,N,0
34.43055,-118.64222,313.19,0.45,0.39,2024-06-19,0956,N20,VIIRS,n,2,285.81,1.59,N,2
34.29144,-118.80218,310.64,0.44,0.38,2024-06-19,0956,N20,VIIRS,n,2,285.44,1.07,N,2
34.03473,-118.10398,306.27,0.39,0.36,2024-06-20,0937,N20,VIIRS,n,2,287.73,0.48,N,2
34.33428,-118.51781,315.63,0.39,0.36,2024-06-20,0937,N20,VIIRS,n,2,287.75,0.88,N,2
34.43047,-118.64381,316.6,0.39,0.37,2024-06-20,0937,N20,VIIRS,n,2,287.32,1.67,N,2
34.40031,-118.99733,297.33,0.4,0.37,2024-06-20,0937,N20,VIIRS,n,2,286.29,0.39,N,2
34.32555,-118.52821,307.6,0.39,0.36,2024-06-20,0937,N20,VIIRS,n,2,286.29,0.82,N,0
34.31979,-118.51222,301.37,0.39,0.36,2024-06-20,0937,N20,VIIRS,n,2,286.01,0.58,N,2
