발생일시,진화일시,주소,진행상태,대응단계,위도,경도,acq_date,평균기온 (temp),평균풍속 (wspd),풍향각도 (wdir),강수량 (precip),습도 (rh),brightness,frp,confidence
2025-03-22 17:27,2025-03-22 18:47,경상북도 안동시 수상동,진화완료,초기대응,36.5411468829095,128.705953779078,2025-03-22,15.3,10.2,309.0,0.0,34,,,
2025-03-22 15:42,2025-03-22 16:59,경상북도 경주시 외동읍,진화완료,초기대응,35.7174077063448,129.327562697192,2025-03-22,18.6,8.9,256.0,0.0,22,,,
2025-03-22 15:19,2025-03-22 16:01,광주광역시 북구 금곡동,진화완료,초기대응,35.1505030921964,126.995228307331,2025-03-22,13.1,5.9,238.0,0.0,54,,,
2025-03-22 14:56,2025-03-22 15:25,경상남도 밀양시 교동,진화완료,초기대응,35.5109851792355,128.75715397471,2025-03-22,15.9,12.0,301.0,0.0,36,,,
2025-03-22 14:54,2025-03-22 16:40,강원특별자치도 정선군 신동읍,진화완료,초기대응,37.2182019484655,128.671426990821,2025-03-22,7.6,21.4,279.0,0.0,46,,,
2025-03-22 14:39,2025-03-28 17:24,경상북도 의성군 안계면,진화완료,초기대응,36.3838537569973,128.440213256607,2025-03-22,13.1,15.5,248.0,0.0,35,,,
2025-03-22 14:32,2025-03-22 16:40,전라남도 보성군 문덕면,진화완료,초기대응,34.9292980885816,127.17248740759,2025-03-22,13.1,5.9,238.0,0.0,54,,,
2025-03-22 14:25,2025-03-22 15:00,전북특별자치도 남원시 대산면,진화완료,초기대응,35.4320909610898,127.325203709683,2025-03-22,13.3,7.5,196.0,0.0,53,,,
2025-03-22 14:20,2025-03-22 16:31,전북특별자치도 진안군 안천면,진화완료,초기대응,35.8971189540272,127.552921966805,2025-03-22,13.3,7.5,196.0,0.0,41,,,
2025-03-22 14:18,2025-03-22 18:06,경기도 동두천시 상패동,진화완료,초기대응,37.9053716773163,127.04430940811,2025-03-22,9.5,12.3,180.0,0.0,54,,,
2025-03-22 14:02,2025-03-25 09:00,경상남도 김해시 한림면,진화완료,2단계,35.3205843446355,128.802156692165,2025-03-22,14.8,11.7,235.0,0.0,41,,,
2025-03-22 13:57,2025-03-23 08:11,경상북도 의성군 금성면,진화완료,초기대응,36.2613833119188,128.681062375143,2025-03-22,17.1,9.8,280.0,0.0,29,,,
2025-03-22 13:51,2025-03-22 18:03,경기도 여주시 강천면,진화완료,초기대응,37.2728895738268,127.711509091654,2025-03-22,9.5,10.7,185.0,0.0,51,,,
2025-03-22 13:25,2025-03-22 13:50,전라남도 진도군 군내면,진화완료,초기대응,34.5125150991022,126.291991132984,2025-03-22,12.3,9.9,210.0,0.0,78,,,
2025-03-22 13:13,2025-03-22 14:50,경기도 광주시 초월읍,진화완료,초기대응,37.3852482375457,127.287960741314,2025-03-22,13.0,10.6,227.0,0.0,46,,,
2025-03-22 13:13,2025-03-22 15:24,경기도 연천군 백학면,진화완료,초기대응,38.0297127942562,126.917969879355,2025-03-22,9.5,12.3,180.0,0.0,60,,,
2025-03-22 13:06,2025-03-22 16:40,대구광역시 수성구 욱수동,진화완료,초기대응,35.8157306531,128.704668612237,2025-03-22,17.1,9.8,280.0,0.0,31,,,
2025-03-22 12:54,2025-03-22 14:34,전라남도 보성군 웅치면,진화완료,초기대응,34.7159649982758,127.020213423157,2025-03-22,10.5,11.0,197.0,0.0,59,,,
2025-03-22 12:42,2025-03-22 17:50,전라남도 보성군 노동면,진화완료,초기대응,34.7991452856054,127.067651116696,2025-03-22,10.5,11.0,197.0,0.0,59,,,
2025-03-22 12:12,2025-03-27 20:40,울산광역시 울주군 온양읍,진화완료,3단계,35.4194264388709,129.280459268566,2025-03-22,18.6,8.9,256.0,0.0,33,,,
2025-03-22 11:31,2025-03-22 13:39,경기도 여주시 점동면,진화완료,초기대응,37.2039031933962,127.659851186914,2025-03-22,11.0,12.0,203.0,0.0,51,,,
2025-03-22 11:24,2025-03-28 17:15,경상북도 의성군 안평면,진화완료,3단계,36.3767576639337,128.584188465703,2025-03-22,15.3,10.2,309.0,0.0,35,,,
2025-03-22 10:08,2025-03-22 11:30,대구광역시 북구 국우동,진화완료,초기대응,35.951577069868,128.579289275607,2025-03-22,17.1,9.8,280.0,0.0,27,,,
2025-03-22 10:07,2025-03-22 10:32,광주광역시 광산구 두정동,진화완료,초기대응,35.2246051549683,126.761660250831,2025-03-22,13.1,5.9,238.0,0.0,54,,,
2025-03-21 16:20,2025-03-21 17:40,전라남도 광양시 진상면,진화완료,초기대응,35.019963721054,127.719670093495,2025-03-21,,,,0.0,58,,,
2025-03-21 15:26,2025-03-30 13:00,경상남도 산청군 시천면,진화완료,3단계,35.2784085324276,127.840576531665,2025-03-21,,,,0.0,52,,,
2025-03-21 15:09,2025-03-21 17:44,전북특별자치도 임실군 삼계면,진화완료,초기대응,35.5076784647948,127.274358039095,2025-03-21,8.6,8.6,250.0,0.0,60,,,
2025-03-21 14:53,2025-03-21 17:17,경상남도 하동군 옥종면,진화완료,초기대응,35.1829311951807,127.879540409871,2025-03-21,,,,0.0,42,,,
2025-03-21 14:32,2025-03-21 15:30,강원특별자치도 평창군 용평면,진화완료,초기대응,37.6066960645327,128.440214137176,2025-03-21,,,,0.0,63,,,
2025-03-21 14:10,2025-03-21 14:48,대전광역시 동구 오동,진화완료,초기대응,36.4154677605755,127.522932877107,2025-03-21,12.7,12.0,216.0,0.0,51,,,
2025-03-20 15:15,2025-03-20 15:55,경기도 용인시 처인구,진화완료,초기대응,37.2343060386837,127.201357139725,2025-03-20,6.5,13.3,171.0,0.0,64,,,
2025-03-20 14:49,2025-03-20 15:40,전라남도 광양시 옥곡면,진화완료,초기대응,34.9895400106799,127.698869701732,2025-03-20,,,,0.0,63,,,
2025-03-20 14:48,2025-03-20 15:54,경상남도 김해시 진례면,진화완료,초기대응,35.2490641531012,128.747720901894,2025-03-20,6.8,10.8,267.0,0.0,52,,,
2025-03-20 14:45,2025-03-20 21:00,경상남도 사천시 곤명면,진화완료,1단계,35.1119381541415,127.941593019082,2025-03-20,,,,0.0,52,,,
