발생일시,진화일시,주소,진행상태,대응단계
2025-03-18 11:27,2025-03-18 12:02,울산광역시 울주군 온양읍,진화완료,초기대응
2025-03-17 17:29,2025-03-17 17:53,전라남도 화순군 백아면,진화완료,초기대응
2025-03-17 16:50,2025-03-17 18:00,전라남도 장성군 장성읍,진화완료,초기대응
2025-03-17 15:47,2025-03-17 16:17,경기도 양평군 개군면,진화완료,초기대응
2025-03-17 14:23,2025-03-17 15:36,충청남도 태안군 이원면,진화완료,초기대응
2025-03-17 13:45,2025-03-17 14:04,충청남도 예산군 덕산면,진화완료,초기대응
2025-03-16 23:03,2025-03-17 01:00,경상남도 산청군 삼장면,진화완료,초기대응
2025-03-16 19:20,2025-03-16 19:57,충청남도 공주시 우성면,진화완료,초기대응
2025-03-15 22:29,2025-03-16 01:05,인천광역시 옹진군 백령면,진화완료,초기대응
2025-03-15 18:40,2025-03-15 20:08,강원특별자치도 횡성군 청일면,진화완료,초기대응
2025-03-15 13:10,2025-03-15 13:50,경기도 연천군 미산면,진화완료,초기대응
2025-03-15 11:58,2025-03-15 12:58,경기도 포천시 내촌면,진화완료,초기대응
2025-03-15 09:42,2025-03-15 10:14,경기도 용인시 처인구,진화완료,초기대응
2025-03-15 09:41,2025-03-15 10:50,경기도 이천시 장호원읍,진화완료,초기대응
2025-03-14 19:20,2025-03-14 20:31,충청남도 서천군 마서면,진화완료,초기대응
2025-03-14 17:51,2025-03-14 18:25,경기도 안산시 상록구,진화완료,초기대응
2025-03-14 16:42,2025-03-14 18:18,경상남도 창원시 마산합포구,진화완료,초기대응
2025-03-14 14:57,2025-03-14 15:56,충청남도 태안군 안면읍,진화완료,초기대응
2025-03-14 14:33,2025-03-14 15:13,충청남도 아산시 음봉면,진화완료,초기대응
2025-03-14 14:30,2025-03-14 17:34,부산광역시 강서구 성북동,진화완료,초기대응
2025-03-14 14:26,2025-03-14 16:07,전라남도 보성군 보성읍,진화완료,초기대응
2025-03-14 13:58,2025-03-14 14:56,전라남도 함평군 학교면,진화완료,초기대응
2025-03-14 13:37,2025-03-14 14:53,경기도 파주시 법원읍,진화완료,초기대응
2025-03-14 12:36,2025-03-14 13:08,경기도 남양주시 호평동,진화완료,초기대응
2025-03-14 11:54,2025-03-14 13:25,강원특별자치도 춘천시 신북읍,진화완료,초기대응
2025-03-14 11:35,2025-03-15 07:12,경기도 양주시 백석읍,진화완료,초기대응
2025-03-14 10:48,2025-03-14 17:30,경상북도 청도군 운문면,진화완료,2단계
2025-03-13 21:41,2025-03-13 22:33,광주광역시 남구 봉선동,진화완료,초기대응
2025-03-13 15:58,2025-03-13 17:09,경상북도 고령군 다산면,진화완료,초기대응
2025-03-13 15:17,2025-03-13 16:05,경상북도 경주시 내남면,진화완료,초기대응
2025-03-13 14:29,2025-03-13 17:45,강원특별자치도 평창군 평창읍,진화완료,초기대응
2025-03-13 13:02,2025-03-13 13:51,부산광역시 사하구 구평동,진화완료,초기대응
2025-03-13 12:36,2025-03-13 14:33,경상남도 사천시 실안동,진화완료,초기대응
2025-03-13 12:16,2025-03-13 14:30,전라남도 여수시 화양면,진화완료,초기대응
